"PC1","PC2","LESIONS","ROI"
-0.532154326678683,-0.373473594907285,"Incidental STIC","Stroma"
-2.45021979475767,0.151170350340172,"Incidental FT","Epithelial"
-2.38258121055673,0.273752403578212,"Incidental FT","Stroma"
0.231926258603469,2.77788000580789,"Incidental FT","Epithelial"
-1.71558937307739,0.210811475124067,"Incidental FT","Stroma"
-0.298738459631914,1.51059010706959,"Incidental Fimbriae","Epithelial"
-2.0960216822695,-0.0231530389277055,"Incidental Fimbriae","Stroma"
-1.71245283876445,0.260359176628154,"Incidental Fimbriae","Stroma"
-1.99633125558293,0.352497863278326,"Incidental STIC","Epithelial"
-2.32361327153738,0.114262338318951,"Incidental STIC","Stroma"
