"tSNE1","tSNE2","LESIONS","ROI","BRCA"
3.56645082246477,17.521211731484,"STIC.C","Epithelial","WT"
4.73634893182537,13.3079299192673,"STIC.C","Stroma","WT"
3.36583476798303,17.1994352191832,"STIC.C","Epithelial","WT"
1.22306611030751,15.4263785702408,"STIC.C","Epithelial","WT"
2.87334146020678,16.5998922075216,"STIC.C","Epithelial","WT"
2.83904071240908,16.4253220833307,"STIC.C","Epithelial","WT"
4.15137366483252,16.8038246881581,"p53 Signature.C","Epithelial","WT"
4.34926684076771,17.2549164956179,"p53 Signature.C","Epithelial","WT"
13.5800361205387,1.20602868108909,"p53 Signature.C","Epithelial","WT"
4.11408873210512,13.6918791672495,"STIC.C","Stroma","WT"
3.67833786876753,18.3124617218008,"STIC.C","Epithelial","WT"
3.71735884384306,18.3574414139289,"STIC.C","Epithelial","WT"
4.2477238480129,13.788844755582,"STIC.C","Stroma","WT"
3.76159619326323,13.6027483766453,"STIC.C","Stroma","WT"
3.79212376636352,18.6322065457719,"STIC.C","Epithelial","WT"
3.74167276428876,18.2078676465964,"STIC.C","Epithelial","WT"
6.91350488607037,3.80253784667918,"FT.C","Epithelial","WT"
4.09232654403965,5.72626522529529,"FT.C","Epithelial","WT"
5.1412161720895,6.18482498066343,"FT.C","Epithelial","WT"
5.58348015746833,5.13948682872478,"Fimbriae.C","Epithelial","WT"
5.99397706897043,4.41816949388061,"Fimbriae.C","Epithelial","WT"
3.99729637402687,2.07705040852474,"Fimbriae.C","Epithelial","WT"
-12.7384775584133,15.5908176973897,"Inv Cancer","Epithelial","WT"
-11.9865849692836,16.3249698263608,"Inv Cancer","Epithelial","WT"
-12.6297725360163,16.2702461201991,"Inv Cancer","Epithelial","WT"
-12.5176751920668,16.1370395071208,"Inv Cancer","Epithelial","WT"
-13.2815784588782,16.5823506871083,"STIC.C","Epithelial","WT"
-1.36702392455372,7.09384241564093,"STIC.C","Epithelial","WT"
18.57179669712,3.48394746194046,"STIC.C","Stroma","WT"
-13.4989128386758,17.1623686154592,"STIC.C","Epithelial","WT"
-12.853885894052,16.4310494262626,"STIC.C","Epithelial","WT"
-13.2785755207868,16.9460831339243,"STIC.C","Epithelial","WT"
-13.1398510323304,16.6713461051326,"STIC.C","Epithelial","WT"
-0.87337683124251,11.3625588072922,"STIC.C","Epithelial","WT"
-1.45744936035157,11.6200868687489,"STIC.C","Epithelial","WT"
-1.98608705792787,10.9974869777183,"STIC.C","Epithelial","WT"
-2.67213368363483,11.4371635451064,"Inv Cancer","Epithelial","WT"
-3.34098049707213,11.507313946837,"Inv Cancer","Epithelial","WT"
-3.43973690170128,11.510327713471,"Inv Cancer","Epithelial","WT"
-2.25531619796156,11.4933656620336,"Inv Cancer","Epithelial","WT"
-2.02044397218305,11.6031221441021,"Inv Cancer","Epithelial","WT"
-2.16160781570274,11.4602588241127,"Inv Cancer","Epithelial","WT"
-9.53427142991569,14.4632277321932,"STIC.C","Epithelial","WT"
-9.53765014208537,14.3517683343563,"STIC.C","Epithelial","WT"
9.49571243744785,7.24405984755501,"STIC.C","Epithelial","WT"
-9.31627099143753,14.2594126611054,"STIC.C","Epithelial","WT"
-9.5568199663159,14.4773580671694,"STIC.C","Epithelial","WT"
0.758128343676743,4.23765894789461,"STIL.C","Epithelial","WT"
-9.6406845081781,13.1380822028647,"p53 Signature.C","Epithelial","WT"
-9.66760766933244,14.7212298733916,"STIC.C","Epithelial","WT"
21.1038517712164,2.93709131478914,"Inv Cancer","Stroma","BRCA1, somatic"
21.5052120563715,1.72755966824845,"Inv Cancer","Epithelial","BRCA1, somatic"
21.4951401201895,2.2430756835054,"Inv Cancer","Stroma","BRCA1, somatic"
0.606148064331095,7.73308096034248,"Inv Cancer","Epithelial","BRCA1, somatic"
0.669804960314931,7.71760798621231,"Inv Cancer","Epithelial","BRCA1, somatic"
3.48708207319849,5.94290348034357,"FT.C","Epithelial","BRCA1, somatic"
3.47730445769218,6.84229709015236,"FT.C","Epithelial","BRCA1, somatic"
5.85466317930676,0.0408328845227435,"FT.C","Epithelial","BRCA1, somatic"
8.00022642954108,8.09596551284074,"FT.C","Epithelial","BRCA1, somatic"
11.1997921385293,0.845877320406493,"FT.C","Epithelial","BRCA1, somatic"
9.26888752404678,5.99525041282314,"FT.C","Epithelial","BRCA1, somatic"
7.09760874569627,0.8285732817592,"Fimbriae.C","Epithelial","BRCA1, somatic"
11.2128204697935,0.533852065384658,"Fimbriae.C","Epithelial","BRCA1, somatic"
14.1449275577797,-2.99518929218433,"Inv Cancer","Stroma","BRCA1, somatic"
-7.82068448054785,8.78745270058198,"STIC.C","Epithelial","WT"
17.099290590811,-10.4158056917224,"STIC.C","Stroma","WT"
-7.70757260487258,8.75763122768118,"STIC.C","Epithelial","WT"
-0.929804217433536,-2.19605024344083,"STIC.C","Stroma","WT"
-9.56101755349983,7.46543771041236,"STIC.C","Epithelial","WT"
-7.13342650881251,8.76438551716203,"STIC.C","Epithelial","WT"
15.3212053005794,6.56853909661794,"STIC.C","Stroma","WT"
-7.20759785942721,7.83443272892288,"STIC.C","Epithelial","WT"
17.8018021623326,-6.44003565998309,"STIC.C","Stroma","WT"
-3.72774849766563,-2.12969594405673,"STIC.C","Stroma","WT"
-7.55086894891395,8.77687570536228,"STIC.C","Epithelial","WT"
-6.24731999777203,8.91453214508377,"STIC.C","Epithelial","WT"
21.2881213725565,-4.68862239093791,"STIC.C","Stroma","WT"
-6.03212438510673,8.94757865986199,"STIC.C","Epithelial","WT"
-7.8613594925325,9.7140060283056,"STIC.C","Epithelial","WT"
12.9902802930376,-4.50865172086027,"STIC.C","Stroma","WT"
-7.67070822786682,9.30990057826769,"STIC.C","Epithelial","WT"
17.3622022738802,-5.68288059893687,"STIC.C","Stroma","WT"
-6.92005524267224,9.73066771264263,"STIC.C","Epithelial","WT"
-9.11408564528175,8.98947783072026,"Inv Cancer","Epithelial","WT"
11.8923713175932,-17.0261721962871,"Inv Cancer","Stroma","WT"
-8.90434512471479,8.2591327917571,"Inv Cancer","Epithelial","WT"
-4.10239437601315,-4.34884461257285,"Inv Cancer","Stroma","WT"
-9.65562484458159,8.06879566630839,"Inv Cancer","Epithelial","WT"
-9.50160851345566,8.78274406579391,"Inv Cancer","Epithelial","WT"
-9.83185045169828,8.68335927905983,"Inv Cancer","Epithelial","WT"
-3.09953693823799,-5.24513635870026,"Inv Cancer","Stroma","WT"
-9.57170721543728,8.74419759443273,"Inv Cancer","Epithelial","WT"
-2.99510580951898,-2.96538208168098,"Inv Cancer","Stroma","WT"
-10.0186119344686,9.48678272936895,"Inv Cancer","Epithelial","WT"
18.4996990616506,4.75036412841865,"Inv Cancer","Stroma","WT"
-9.93465897708086,8.60298629761486,"Inv Cancer","Epithelial","WT"
-9.99494959852101,8.25313593197719,"Inv Cancer","Epithelial","WT"
19.7880469465764,-4.99358763886613,"STIC.C","Stroma","WT"
-15.0516709162322,13.5366802652426,"Inv Cancer","Epithelial","WT"
-15.4139362111383,13.1809684082699,"Inv Cancer","Epithelial","WT"
-15.414755340165,13.1035396154311,"Inv Cancer","Epithelial","WT"
-6.26082378814478,-0.0313688702065152,"Inv Cancer","Epithelial","WT"
-15.8322731035634,12.8558959983371,"Inv Cancer","Epithelial","WT"
-15.7017940831831,12.9276619790527,"Inv Cancer","Epithelial","WT"
-4.18380011026317,-3.05299208771246,"Inv Cancer","Stroma","WT"
-16.5057290624204,14.7935718031356,"Inv Cancer","Epithelial","WT"
-4.0053499265907,-3.0707258628903,"Inv Cancer","Stroma","WT"
-16.4029377208424,14.4392528495412,"Inv Cancer","Epithelial","WT"
-16.0813408205107,14.0602562355646,"Inv Cancer","Epithelial","WT"
8.11793526258097,2.25986432635858,"STIC.C","Epithelial","WT"
-12.6163486038093,11.6837177599799,"STIC.C","Epithelial","WT"
-14.4491760957785,12.5195667828508,"STIC.C","Epithelial","WT"
-13.636692148993,12.3853642631193,"STIC.C","Epithelial","WT"
-13.1455024291163,12.2289664274869,"STIC.C","Epithelial","WT"
-6.2543213873073,-0.0267823310222286,"Cancer (Floating)","Epithelial","WT"
-14.4429968971956,12.320658039202,"STIC.C","Epithelial","WT"
-14.8733647180576,12.4467342198576,"STIC.C","Epithelial","WT"
-15.2681347591847,12.0776784950969,"Cancer (Floating)","Epithelial","WT"
10.5970245282794,6.21470702451601,"FT.C","Epithelial","WT"
8.45413247683019,3.23216248720624,"FT.C","Epithelial","WT"
11.1776957819386,6.23767982047101,"FT.C","Epithelial","WT"
-4.4068252480473,-2.26647579093524,"Inv Cancer","Stroma","WT"
-4.96527794780383,-2.05060098324676,"Inv Cancer","Stroma","WT"
-4.12665650268736,-2.90142863387604,"Inv Cancer","Stroma","WT"
2.40827733292623,9.69149847118106,"STIC.C","Epithelial","BRCA2"
2.34308301455013,9.6625362381369,"STIC.C","Epithelial","BRCA2"
19.3624411215965,1.93688727317687,"STIC.C","Stroma","BRCA2"
17.0252174591247,2.94222216125372,"STIC.C","Stroma","BRCA2"
19.4692703613541,-6.02949862979524,"STIC.C","Stroma","BRCA2"
2.98337164368382,9.9316457682592,"STIC.C","Epithelial","BRCA2"
2.29108246984307,9.66813052507256,"STIC.C","Epithelial","BRCA2"
16.87635901038,2.9550389020833,"STIC.C","Stroma","BRCA2"
20.7858855947437,1.1341896155857,"STIC.C","Stroma","BRCA2"
16.1446797640926,3.62608720581648,"STIC.C","Stroma","BRCA2"
2.61352009724213,9.72512519614571,"STIC.C","Epithelial","BRCA2"
9.35192223405815,5.46919929901206,"p53 Signature.C","Epithelial","BRCA2"
10.5450977318523,3.05817918581009,"p53 Signature.C","Epithelial","BRCA2"
18.6156984516117,-9.07741075987581,"p53 Signature.C","Stroma","BRCA2"
9.34138261881745,3.34060292903153,"p53 Signature.C","Epithelial","BRCA2"
16.2059399916992,-5.18684631740618,"p53 Signature.C","Stroma","BRCA2"
10.5354345279895,3.10880221845792,"p53 Signature.C","Epithelial","BRCA2"
15.7726144372794,1.87955234789984,"p53 Signature.C","Stroma","BRCA2"
11.1703790597065,2.4378528621638,"p53 Signature.C","Epithelial","BRCA2"
12.7410693189716,-16.7363495426388,"p53 Signature.C","Stroma","BRCA2"
11.6329225719948,2.31047884504147,"p53 Signature.C","Epithelial","BRCA2"
-2.89644676015571,6.05413628857459,"STIC.C","Epithelial","BRCA2"
9.12820192200112,-1.52330012489876,"STIC.C","Stroma","BRCA2"
-3.4108358650256,6.26944567958969,"Inv Cancer","Epithelial","BRCA2"
-1.09480606810601,6.91057504537295,"Inv Cancer","Stroma","BRCA2"
-3.54668123966274,6.32378926170202,"Inv Cancer","Epithelial","BRCA2"
-2.95299123043109,6.04910700384389,"STIC.C","Epithelial","BRCA2"
-6.28676702457663,17.1043971761466,"Inv Cancer","Epithelial","BRCA1 VUS"
-6.30510217658435,17.0102791206102,"Inv Cancer","Epithelial","BRCA1 VUS"
-7.4133043024253,16.8934483824162,"STIC.C","Epithelial","BRCA1 VUS"
16.9723386937462,-0.512531205120486,"STIC.C","Stroma","BRCA1 VUS"
-7.7681073838963,16.9538167059543,"STIC.C","Epithelial","BRCA1 VUS"
16.9113623052809,-0.890753203318835,"STIC.C","Stroma","BRCA1 VUS"
-7.87745458864972,16.9952621991935,"STIC.C","Epithelial","BRCA1 VUS"
16.2269401732747,-0.501599205419968,"STIC.C","Stroma","BRCA1 VUS"
-5.41487368597615,18.0570873696744,"Inv Cancer","Epithelial","BRCA1 VUS"
15.4915144747585,-2.2591999759635,"Inv Cancer","Stroma","BRCA1 VUS"
-5.42212292919118,18.0785113479142,"Inv Cancer","Epithelial","BRCA1 VUS"
15.5662026401981,-2.28361168730451,"Inv Cancer","Stroma","BRCA1 VUS"
-7.52682326858916,16.879978296021,"STIC.C","Epithelial","BRCA1 VUS"
-7.71787553557101,16.9501431911547,"STIC.C","Epithelial","BRCA1 VUS"
8.95622769648385,4.01395759637172,"Incidental FT","Epithelial","BRCA2"
19.6526597516559,-8.87625503787374,"Incidental FT","Stroma","BRCA2"
3.38591027473936,4.50335578640335,"Incidental p53sig","Epithelial","BRCA2"
22.3426862950999,-1.75750200027467,"Incidental p53sig","Stroma","BRCA2"
2.88256386009938,1.88277859968027,"Incidental p53sig","Epithelial","BRCA2"
