"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"DPY19L3",-0.0665807291666659,0.0249961309523809,-0.618341334785195,0.536536834312924,0.625080334910074,-6.92814493643928,"Não significativo"
"ZNF566",0.0647605902777778,-0.0799741071428572,0.618309676598327,0.536557687491476,0.625080334910074,-6.92816440141979,"Não significativo"
"AKAP8L",0.0674809027777767,-0.0480014880952382,0.618220650525585,0.53661633096085,0.625109662156539,-6.92821913360754,"Não significativo"
"DPRX",-0.0680847222222217,0.0583291666666666,-0.617974468997229,0.53677851306728,0.625225198120929,-6.92837044214316,"Não significativo"
"ING3",-0.066404687499999,0.0381122023809524,-0.617968474511343,0.536782462486967,0.625225198120929,-6.92837412573408,"Não significativo"
"SEC14L2",0.0660779513888886,0.0453717261904761,0.617621607599386,0.53701101794664,0.625452405973398,-6.92858721346453,"Não significativo"
"WDR45",0.0665772569444437,0.010627380952381,0.617528180635152,0.537072586658736,0.625485109498361,-6.92864458720689,"Não significativo"
"PADI1",-0.0686380208333325,0.0318633928571428,-0.617137614830453,0.537330009448723,0.625732798976231,-6.92888434079765,"Não significativo"
"POLR3F",-0.066790624999999,0.029257738095238,-0.617103843908308,0.537352270856121,0.625732798976231,-6.92890506437315,"Não significativo"
"MKS1",-0.0666690972222218,0.0397264880952382,-0.616997306166067,0.537422502365696,0.625775565878061,-6.92897043398922,"Não significativo"
"TSPYL6",-0.0674140624999998,0.00654940476190478,-0.61667786430854,0.537633111619925,0.625981773313717,-6.92916637010156,"Não significativo"
"CYP4A22",-0.0662680555555547,0.0469181547619048,-0.616400270916718,0.537816163741734,0.626155871475151,-6.92933655529537,"Não significativo"
"AP1M2",-0.0669963541666666,-0.0407601190476191,-0.616320964087268,0.537868466434231,0.626177731570911,-6.92938516216429,"Não significativo"
"STRIT1",-0.0661644097222208,0.0480735119047619,-0.615580892561683,0.538356665414051,0.626707020689244,-6.92983844813449,"Não significativo"
"KATNA1",0.0665666666666678,0.0766785714285714,0.615280188749124,0.53855509269148,0.626876596434162,-6.93002247058842,"Não significativo"
"POU2F1",0.065796354166667,0.0531020833333334,0.615258413149422,0.538569463317586,0.626876596434162,-6.93003579316811,"Não significativo"
"PXK",-0.0672362847222213,0.0254880952380953,-0.61516371093303,0.538631963499715,0.626910274960066,-6.93009372766957,"Não significativo"
"MMP17",0.067168576388888,0.0274047619047619,0.61496306465057,0.538764395134641,0.627025336984652,-6.93021644449004,"Não significativo"
"LYSMD1",-0.0646078124999987,0.0173166666666667,-0.614552466452513,0.539035451334284,0.627270010335655,-6.93046744487086,"Não significativo"
"GYPE",-0.0680541666666655,0.00404434523809518,-0.614542853336379,0.539041798248501,0.627270010335655,-6.93047331940222,"Não significativo"
"TAS2R14",0.0663526041666656,0.0543050595238095,0.614088345047999,0.539341923280797,0.6275575701053,-6.9307509625651,"Não significativo"
"TGFBRAP1",0.0668498263888883,0.0229598214285715,0.614066859912367,0.539356112616067,0.6275575701053,-6.93076408200084,"Não significativo"
"SLC1A3",0.0663973958333326,-0.0638038690476191,0.613868352688072,0.539487220746225,0.627671016126409,-6.93088527447573,"Não significativo"
"IGFBP5",-0.0692510416666662,0.0923136904761905,-0.613484269931439,0.539740941406536,0.627887430274527,-6.93111965323768,"Não significativo"
"POLG2",0.0655137152777768,-0.0326294642857143,0.613450336497031,0.539763360321107,0.627887430274527,-6.93114035338669,"Não significativo"
