"MDS1","MDS2","LESIONS","ROI","BRCA"
8.01489661995694,-5.98775086715002,"Inv Cancer","Epithelial","BRCA1, somatic"
9.9850812655065,-8.82105639328695,"Inv Cancer","Stroma","BRCA1, somatic"
-10.3734052896271,-2.91381148557144,"Inv Cancer","Epithelial","BRCA1, somatic"
-5.36102563911556,1.36496911653752,"Inv Cancer","Epithelial","BRCA1, somatic"
-4.29971670691565,-8.17487503034399,"FT.C","Epithelial","BRCA1, somatic"
1.3781324966773,-5.56058231148275,"FT.C","Epithelial","BRCA1, somatic"
0.00391491336584224,-10.9475956836435,"FT.C","Epithelial","BRCA1, somatic"
-0.365881150410815,-10.5373545378011,"FT.C","Epithelial","BRCA1, somatic"
11.4022642161986,3.46748185418794,"FT.C","Epithelial","BRCA1, somatic"
4.5422087146475,-7.72012219762638,"FT.C","Epithelial","BRCA1, somatic"
3.84152392678345,-10.4226086774937,"Fimbriae.C","Epithelial","BRCA1, somatic"
13.567486068575,4.9739157340321,"Fimbriae.C","Epithelial","BRCA1, somatic"
20.3520554867391,2.55290410790946,"Inv Cancer","Stroma","BRCA1, somatic"
-11.5884800535423,1.99645108379735,"STIC.C","Epithelial","WT"
10.6114802198186,-2.89879658929245,"STIC.C","Stroma","WT"
-13.9447353602273,-0.193129113781665,"STIC.C","Epithelial","WT"
1.89001857162859,-2.42987537537002,"STIC.C","Stroma","WT"
-11.8140230481125,-0.433408343552019,"STIC.C","Epithelial","WT"
-13.3945056631209,-3.17708429988723,"STIC.C","Epithelial","WT"
7.04734080769637,-4.56245376194516,"STIC.C","Stroma","WT"
-10.4557247564651,-1.90068449936542,"STIC.C","Epithelial","WT"
14.7361213672962,0.993409408659916,"STIC.C","Stroma","WT"
-3.58312786934992,-2.0009005984667,"STIC.C","Stroma","WT"
-15.1490991700108,-3.04394612384234,"STIC.C","Epithelial","WT"
-7.6294472860854,-6.10749770603723,"STIC.C","Epithelial","WT"
13.5329703891456,-10.8144118528395,"STIC.C","Stroma","WT"
-4.17182750167851,-2.62081888231035,"STIC.C","Epithelial","WT"
-14.4469158043016,-0.203700485144839,"STIC.C","Epithelial","WT"
12.7200967275544,-2.17187018426396,"STIC.C","Stroma","WT"
-14.4273794018363,-0.161948245924444,"STIC.C","Epithelial","WT"
19.5809720292677,0.538486757119259,"STIC.C","Stroma","WT"
-9.25395623855383,-0.30025712181817,"STIC.C","Epithelial","WT"
-16.4156676022266,-0.946219663084143,"Inv Cancer","Epithelial","WT"
25.8555196400425,23.8139878664761,"Inv Cancer","Stroma","WT"
-10.6296858148606,1.44607221324905,"Inv Cancer","Epithelial","WT"
7.84189048906963,4.80929188956315,"Inv Cancer","Stroma","WT"
-15.651628774006,0.0486004113061396,"Inv Cancer","Epithelial","WT"
-13.1908511680651,-0.27380798686725,"Inv Cancer","Epithelial","WT"
-18.8815986381821,0.738299628932097,"Inv Cancer","Epithelial","WT"
3.5745574923263,-1.18428644737883,"Inv Cancer","Stroma","WT"
-18.8310112349953,1.19899581134716,"Inv Cancer","Epithelial","WT"
5.54821038595526,-1.33648201620051,"Inv Cancer","Stroma","WT"
-11.5588828828814,-4.79882119289025,"Inv Cancer","Epithelial","WT"
7.78703896183467,-5.16189193503954,"Inv Cancer","Stroma","WT"
-19.429141724908,-0.313722384126157,"Inv Cancer","Epithelial","WT"
-17.9929908469076,0.288642769738649,"Inv Cancer","Epithelial","WT"
10.2453655626133,-6.07063804749368,"STIC.C","Stroma","WT"
-17.0336591149419,1.390804481337,"Inv Cancer","Epithelial","WT"
-15.8349950018576,3.96768134198439,"Inv Cancer","Epithelial","WT"
-16.2263693299688,3.9623191636035,"Inv Cancer","Epithelial","WT"
-1.37698375644231,5.96381750692469,"Inv Cancer","Epithelial","WT"
-16.5042076277114,4.58668514532337,"Inv Cancer","Epithelial","WT"
-16.2634489904213,4.86869721833391,"Inv Cancer","Epithelial","WT"
-0.0914496427599783,-1.26428804348381,"Inv Cancer","Stroma","WT"
-17.9411604565099,0.265715453195097,"Inv Cancer","Epithelial","WT"
2.98576859554552,3.39526614796297,"Inv Cancer","Stroma","WT"
-21.1271041332565,2.15405023991465,"Inv Cancer","Epithelial","WT"
-21.1750526902961,3.62881712317906,"Inv Cancer","Epithelial","WT"
7.54163543123184,-6.9023057422087,"STIC.C","Epithelial","WT"
-3.17656306139432,-4.26559814462965,"STIC.C","Epithelial","WT"
-9.32188294218795,3.56599959229921,"STIC.C","Epithelial","WT"
-9.62425664115981,2.30260827200975,"STIC.C","Epithelial","WT"
-4.0097978724621,-0.674467720161387,"STIC.C","Epithelial","WT"
-2.10821197254752,3.16784687549261,"Cancer (Floating)","Epithelial","WT"
-6.86709753396801,5.4111488362681,"STIC.C","Epithelial","WT"
-10.3121358168742,7.46235324825345,"STIC.C","Epithelial","WT"
-7.48753181187428,8.78998285073578,"Cancer (Floating)","Epithelial","WT"
5.8144850622449,-5.96354442561088,"FT.C","Epithelial","WT"
5.2365398487064,-4.11939042040682,"FT.C","Epithelial","WT"
5.55507667419569,-6.1196046875008,"FT.C","Epithelial","WT"
-2.04828217392632,1.79412960386336,"Inv Cancer","Stroma","WT"
-5.9699724464197,-0.0747693171357253,"Inv Cancer","Stroma","WT"
3.17858988388138,0.475352845758266,"Inv Cancer","Stroma","WT"
-3.24486987760074,0.0682668328441526,"STIC.C","Epithelial","BRCA2"
-5.02713130603742,-1.20339615165129,"STIC.C","Epithelial","BRCA2"
7.61277033980168,-8.47177812137274,"STIC.C","Stroma","BRCA2"
6.59358921201633,-6.50193754803777,"STIC.C","Stroma","BRCA2"
15.1885246053967,-6.3742950190148,"STIC.C","Stroma","BRCA2"
-5.15168323879772,-0.430314635586337,"STIC.C","Epithelial","BRCA2"
-2.33500987681128,-0.863250482800906,"STIC.C","Epithelial","BRCA2"
8.16852269672539,-4.75608641302115,"STIC.C","Stroma","BRCA2"
12.3276694399834,-4.98543796885571,"STIC.C","Stroma","BRCA2"
10.3887681839265,-0.938299971546722,"STIC.C","Stroma","BRCA2"
-4.52128887077058,0.28250900478097,"STIC.C","Epithelial","BRCA2"
3.94320869676188,-7.47125923995809,"p53 Signature.C","Epithelial","BRCA2"
7.24301221559091,-1.54478027330032,"p53 Signature.C","Epithelial","BRCA2"
20.7397333174005,-4.51726681711586,"p53 Signature.C","Stroma","BRCA2"
5.53006411548359,-4.72091403104014,"p53 Signature.C","Epithelial","BRCA2"
23.4100985671748,1.77328038383488,"p53 Signature.C","Stroma","BRCA2"
5.80042935592277,-1.29750730535279,"p53 Signature.C","Epithelial","BRCA2"
12.7443833015807,-4.42622488569971,"p53 Signature.C","Stroma","BRCA2"
10.1500170304953,-0.0643533776965542,"p53 Signature.C","Epithelial","BRCA2"
33.6840948078515,18.0156436340818,"p53 Signature.C","Stroma","BRCA2"
11.8859463192092,-0.685087294441035,"p53 Signature.C","Epithelial","BRCA2"
-15.3298789310937,-5.23073887693269,"STIC.C","Epithelial","BRCA2"
0.351354796211019,-5.16096818054625,"STIC.C","Stroma","BRCA2"
-20.4278818253183,-4.195438447154,"Inv Cancer","Epithelial","BRCA2"
-6.91711715099554,-4.0678919586575,"Inv Cancer","Stroma","BRCA2"
-21.2544862817398,-4.74516179331896,"Inv Cancer","Epithelial","BRCA2"
-15.3405753670405,-5.19493824019957,"STIC.C","Epithelial","BRCA2"
-5.69786418222596,0.342055313089942,"Inv Cancer","Epithelial","BRCA1 VUS"
-12.124836258094,-1.77086641439368,"Inv Cancer","Epithelial","BRCA1 VUS"
-8.60802130322132,0.143317933381833,"STIC.C","Epithelial","BRCA1 VUS"
7.25371422513462,-4.83724505316823,"STIC.C","Stroma","BRCA1 VUS"
-6.45788921262388,1.51335717884344,"STIC.C","Epithelial","BRCA1 VUS"
8.9725260890844,-2.8755523616944,"STIC.C","Stroma","BRCA1 VUS"
-8.51885272259812,-0.583816270517008,"STIC.C","Epithelial","BRCA1 VUS"
9.60319129100617,-3.85652070027073,"STIC.C","Stroma","BRCA1 VUS"
0.108067693786703,-0.132391284162441,"Inv Cancer","Epithelial","BRCA1 VUS"
16.9533644091618,-0.967306305818351,"Inv Cancer","Stroma","BRCA1 VUS"
-1.45934133332655,-0.863968099294261,"Inv Cancer","Epithelial","BRCA1 VUS"
