"SAMPLE_ID","UMAP1","UMAP2","LESIONS_TYPES","ROI_TYPES"
"LSP16142_Scan2-014-Full-ROI",0.264981647332509,-1.45806797842185,"STIC.C","Stroma"
"LSP16142_Scan2-015-Full-ROI",2.19228400786718,-0.680729473630588,"STIC.C","Epithelial"
"LSP16142_Scan2-016-Full-ROI",2.14702977736791,-0.773547733823459,"STIC.C","Epithelial"
"LSP16145_Scan1-001-Full-ROI",-0.788994411627452,-1.90379246572653,"FT.C","Epithelial"
"LSP16145_Scan1-002-Full-ROI",-0.306373218695323,-1.97607430318991,"FT.C","Epithelial"
"LSP16145_Scan1-003-Full-ROI",-0.0858417550722761,-1.9101587186257,"FT.C","Epithelial"
"LSP16145_Scan1-004-Full-ROI",-0.16854343811671,-1.55490406850974,"Fimbriae.C","Epithelial"
"LSP16145_Scan1-005-Full-ROI",-0.425304035345714,-1.46731814245383,"Fimbriae.C","Epithelial"
"LSP16145_Scan1-006-Full-ROI",-0.130249599615733,-1.96576985220114,"Fimbriae.C","Epithelial"
"LSP16145_Scan1-011-Full-ROI",3.07783116896947,0.125785743196805,"Inv Cancer","Epithelial"
"LSP16145_Scan1-013-Full-ROI",3.31361522277196,0.185626422365506,"Inv Cancer","Epithelial"
"LSP16145_Scan1-014-Full-ROI",3.30300178130468,0.169145499666532,"Inv Cancer","Epithelial"
"LSP16145_Scan1-015-Full-ROI",3.34949245055517,0.242645656069119,"Inv Cancer","Epithelial"
"LSP16145_Scan1-020-Full-ROI",3.35904635985692,0.239622508486112,"STIC.C","Epithelial"
"LSP16145_Scan1-021-Full-ROI",3.15127219756444,-0.0985017667214079,"STIC.C","Epithelial"
"LSP16145_Scan1-022-Full-ROI",0.162946124871572,-1.45131834844748,"STIC.C","Stroma"
"LSP16145_Scan1-023-Full-ROI",3.4283722837766,0.344205771883328,"STIC.C","Epithelial"
"LSP16145_Scan1-024-Full-ROI",3.19455232222875,0.108096991976102,"STIC.C","Epithelial"
"LSP16145_Scan1-025-Full-ROI",3.33144893248876,0.195859824617703,"STIC.C","Epithelial"
"LSP16145_Scan1-026-Full-ROI",3.37880744536718,0.267931376894315,"STIC.C","Epithelial"
"LSP16148_Scan1-001-Full-ROI",0.11485089858373,-0.274366940061252,"STIC.C","Epithelial"
"LSP16148_Scan1-002-Full-ROI",0.186955352624257,-0.301486099759738,"STIC.C","Epithelial"
"LSP16148_Scan1-003-Full-ROI",0.411977668603261,-0.161653603116672,"STIC.C","Epithelial"
"LSP16148_Scan1-004-Full-ROI",0.318323036034902,-0.316099728147189,"Inv Cancer","Epithelial"
"LSP16148_Scan1-005-Full-ROI",0.416257282098134,-0.264452541867892,"Inv Cancer","Epithelial"
