Raman Shift (cm⁻¹),Importância
1147.0,4.3387605290489554e-05
2939.0,4.335978354409307e-05
282.0,4.334516217263819e-05
1144.0,4.3313801133323916e-05
294.0,4.330146536762249e-05
302.0,4.323391087002886e-05
281.0,4.3134691316766484e-05
655.0,4.312775109782661e-05
2984.0,4.309413662112223e-05
1022.0,4.306038677782044e-05
716.0,4.305764791653411e-05
3068.0,4.304141726592342e-05
3067.0,4.291693399494681e-05
295.0,4.28822945076276e-05
2937.0,4.287093548144741e-05
1091.0,4.280207924399801e-05
280.0,4.280059891007583e-05
2765.0,4.277212698271044e-05
1017.0,4.2757229807247854e-05
1353.0,4.272409462765915e-05
2751.0,4.270083128029175e-05
1101.0,4.2666354426546036e-05
2998.0,4.2644857276321715e-05
342.0,4.260238054082798e-05
2844.0,4.2531374325444125e-05
2676.0,4.2488726677758945e-05
1134.0,4.234994622053674e-05
2995.0,4.234120764641586e-05
1031.0,4.2301311096471785e-05
3008.0,4.229551853196016e-05
1260.0,4.229243383081689e-05
279.0,4.2267536830819754e-05
1148.0,4.219410410663456e-05
2859.0,4.218648503065972e-05
1021.0,4.214687718793031e-05
3069.0,4.2146403441950453e-05
296.0,4.2088090978171856e-05
2940.0,4.206803965405346e-05
470.0,4.20065848244384e-05
469.0,4.1996652957320594e-05
1018.0,4.196890785174036e-05
878.0,4.182865267397702e-05
1422.0,4.182362066728038e-05
1011.0,4.1797467051956524e-05
468.0,4.17343378389968e-05
717.0,4.170339549786738e-05
471.0,4.1700717687421906e-05
2682.0,4.169101129218337e-05
879.0,4.1636505407767814e-05
1020.0,4.1609640678178764e-05
1019.0,4.155331278545034e-05
2744.0,4.1502557891154345e-05
877.0,4.145692053473251e-05
3066.0,4.142100142210794e-05
278.0,4.140460700349793e-05
2904.0,4.13925714907947e-05
301.0,4.138651474498938e-05
1090.0,4.135943139554151e-05
1354.0,4.135842170669016e-05
1342.0,4.131026011376874e-05
467.0,4.1308794199181834e-05
1414.0,4.12287483282635e-05
880.0,4.118562056105155e-05
1133.0,4.1157674366474974e-05
692.0,4.113164242905582e-05
2936.0,4.108365162582492e-05
472.0,4.108359340690983e-05
1102.0,4.100468464147609e-05
654.0,4.093191740781423e-05
2997.0,4.083326804561148e-05
662.0,4.080480341676616e-05
466.0,4.078188077480097e-05
297.0,4.0764064251852846e-05
2750.0,4.067890413864812e-05
881.0,4.065305300059815e-05
679.0,4.060424377144271e-05
718.0,4.0481250010205444e-05
1423.0,4.0236555528268995e-05
1149.0,4.023040220778831e-05
473.0,4.022708882655552e-05
876.0,4.021326423353895e-05
2831.0,4.0207471884400766e-05
1272.0,4.0187733505532775e-05
465.0,4.017320869744944e-05
882.0,4.0107407820498475e-05
1355.0,4.006913625008546e-05
277.0,3.999000130831075e-05
691.0,3.993121666318742e-05
343.0,3.991980419968854e-05
3009.0,3.9894376024870415e-05
2941.0,3.986909677696438e-05
1132.0,3.985772003081963e-05
1089.0,3.9810788625028724e-05
672.0,3.973320557206569e-05
926.0,3.968825730153691e-05
883.0,3.955565567891631e-05
464.0,3.948464411451478e-05
2830.0,3.948119420650959e-05
3070.0,3.9462720571901906e-05
2677.0,3.9453373441369675e-05
719.0,3.939802946735147e-05
1032.0,3.9365146984378174e-05
2745.0,3.934242717951262e-05
2766.0,3.932435754127036e-05
474.0,3.92393878212136e-05
2749.0,3.921458890883322e-05
925.0,3.921101010561386e-05
690.0,3.918937580207242e-05
927.0,3.913224515464961e-05
1010.0,3.908538947787196e-05
1341.0,3.898190283212835e-05
298.0,3.897463655271099e-05
884.0,3.897253515384202e-05
1424.0,3.891160550292183e-05
2832.0,3.891152016703489e-05
1356.0,3.887159872801427e-05
2681.0,3.8858283053742256e-05
300.0,3.8791391244026145e-05
1103.0,3.877052988517103e-05
1259.0,3.873347173507796e-05
463.0,3.872336336133323e-05
2935.0,3.8594188647101985e-05
1131.0,3.84646425309927e-05
720.0,3.8433208441562495e-05
2996.0,3.832283353031118e-05
885.0,3.83110719695245e-05
2843.0,3.8307417482289405e-05
2748.0,3.829573347043891e-05
475.0,3.822809614592153e-05
1088.0,3.820877234976307e-05
793.0,3.818226345057136e-05
2746.0,3.8174089591698085e-05
653.0,3.813698126413858e-05
2658.0,3.812950368390301e-05
875.0,3.8093745274347155e-05
2983.0,3.805342513712735e-05
2747.0,3.791328376851587e-05
462.0,3.7900138303286825e-05
1425.0,3.7888424406392686e-05
689.0,3.7875055445989826e-05
2919.0,3.787302764302038e-05
1150.0,3.785548148979203e-05
928.0,3.781327722032608e-05
1357.0,3.776162084756884e-05
2925.0,3.774492820004727e-05
276.0,3.770024690297255e-05
2924.0,3.761611746141998e-05
