,count,mean,std,min,25%,50%,75%,max,var
174.0,1225.0,-0.12073928219498152,0.38371908985057346,-0.5186301567581644,-0.3172241580281978,-0.24024063687106748,-0.1193189327133152,1.1680398556461478,0.14724033991575247
175.0,1225.0,-0.12043744011055925,0.4088581790416215,-0.5356145850976186,-0.3236584228401689,-0.2471795882902021,-0.12429492134212741,1.2492731396010384,0.16716501056923058
176.0,1225.0,-0.11949981199145784,0.43380985996235155,-0.5478659493964574,-0.33223800068771775,-0.25325903523759297,-0.12947045181925992,1.336431447420502,0.18819099460055505
177.0,1225.0,-0.11776214522525964,0.45839375493524387,-0.5544320637681064,-0.33808206325289686,-0.25798193342535725,-0.13391494139412524,1.4248202156090002,0.2101248345636324
178.0,1225.0,-0.11531313860968316,0.4825275737561507,-0.556004647877879,-0.340749001287321,-0.26300760950014657,-0.1380256206647686,1.5096469441624598,0.23283285943499743
179.0,1225.0,-0.11230551375019006,0.5061788565503458,-0.5530735295536422,-0.3424789340576329,-0.26832694724994455,-0.14228218848747656,1.5914281020310173,0.2562170348186156
180.0,1225.0,-0.10878472578276874,0.5293182138620189,-0.5447193243687479,-0.3448216757265351,-0.2730395158532679,-0.1463034456681821,1.6791481364182637,0.28017777152607803
181.0,1225.0,-0.10466261447177422,0.5519104603375435,-0.5292607538639142,-0.346432291565569,-0.2767120354060851,-0.14965437273397597,1.7654072121276154,0.30460515622999923
182.0,1225.0,-0.09983831463923994,0.5739388044803889,-0.5150297855957582,-0.3464313187010412,-0.2798515514861982,-0.15274027134198706,1.8485405640230406,0.32940575128837807
183.0,1225.0,-0.09435563300898123,0.5954247919265616,-0.5025464775421583,-0.34656458202600077,-0.28165818027793316,-0.15627636675327672,1.9291756650886016,0.35453068284078926
184.0,1225.0,-0.08847079816554218,0.6164164648873218,-0.5003936367946511,-0.3447894254024618,-0.28253758634039416,-0.15885714711582807,2.008160165628029,0.3799692581841828
185.0,1225.0,-0.08258490746864768,0.636958151678911,-0.4920813196091825,-0.3442688387428172,-0.283865645072436,-0.16152326065567382,2.092324247669374,0.40571568699021465
186.0,1225.0,-0.07708833241799805,0.6570699492821017,-0.4901375590591461,-0.3438676552546079,-0.28522151824033654,-0.16542120706127406,2.1716879869240158,0.43174091824958366
187.0,1225.0,-0.07220528697546633,0.6767369201304679,-0.48467919633729706,-0.34257000204217464,-0.28589639529991684,-0.16925390842120053,2.244686934891092,0.4579728590676713
188.0,1225.0,-0.06791146716031642,0.6958928828060699,-0.507157248887234,-0.34320147614913343,-0.28692548068254986,-0.17342421167522953,2.3132062627071797,0.48426690434014247
189.0,1225.0,-0.06396175840083194,0.7144108840490342,-0.5391013024604654,-0.3446332565212722,-0.2893819610555421,-0.1776335712138012,2.385300115402391,0.5103829112477226
190.0,1225.0,-0.06002359530460857,0.7321333382726034,-0.5571064987412765,-0.3456484513335118,-0.29067130947828906,-0.18275535158542913,2.453469578594119,0.5360192250101863
191.0,1225.0,-0.055860993102886794,0.7489409471207273,-0.5535212844963735,-0.34637511501950086,-0.2921898440587099,-0.18566761057143638,2.514808037049694,0.5609125422740922
192.0,1225.0,-0.051471586320550364,0.7648090577368108,-0.5900498817401332,-0.3469790153154637,-0.29496007818777276,-0.18630435608188853,2.5731668770231226,0.5849328947962685
193.0,1225.0,-0.04708563721301913,0.7798025842782339,-0.599892819615469,-0.3475981768294054,-0.29129818502550126,-0.19122189521105185,2.632861032035171,0.6080920704470121
194.0,1225.0,-0.04301553295567275,0.794016646064032,-0.5829715974733671,-0.3479717457092258,-0.2870968090954628,-0.1937433180674159,2.6882781199897816,0.6304624342267743
195.0,1225.0,-0.0394487023408979,0.8075083885703265,-0.5414459819950557,-0.34874429737823504,-0.2847706006895317,-0.19971644616218645,2.7493564872931997,0.6520697976114453
196.0,1225.0,-0.0363229458263963,0.8202548604050454,-0.4956860886656684,-0.3500465286692445,-0.28294009128595266,-0.20440767020755288,2.805849795544604,0.6728180360181004
