"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"ARMC2",-1.04437239583332,0.075940476190476,-9.80931574262882,1.84245441221638e-21,5.70671990994449e-20,37.9155048970137,"Down-regulado"
"FAM120B",-1.00364131944444,0.0659440476190475,-9.808738452543,1.85182615729899e-21,5.72469511324078e-20,37.9105120679147,"Down-regulado"
"SHB",1.0214032986111,-0.0291666666666665,9.80858114710162,1.85438804064393e-21,5.72469511324078e-20,37.9091516141477,"Up-regulado"
"BBS9",-1.02438836805555,0.166773809523809,-9.80738006060144,1.87406515569452e-21,5.77589354998458e-20,37.8987645909756,"Down-regulado"
"ALCAM",-1.02449809027777,0.0993017857142855,-9.80442800819152,1.92331178772995e-21,5.91790679727054e-20,37.8732393501353,"Down-regulado"
"ITGA6",-1.02111319444443,0.165873809523809,-9.80362099716884,1.93699631901337e-21,5.9502105674692e-20,37.8662624751156,"Down-regulado"
"PPP3R1",1.01190381944444,-0.0499238095238098,9.80109737885723,1.98041531185086e-21,6.07359881435772e-20,37.8444478300712,"Up-regulado"
"LRTOMT",-1.0241657986111,0.135541071428571,-9.79991553246694,2.00107938776804e-21,6.1269114303842e-20,37.8342332130684,"Down-regulado"
"PLEKHG7",-1.02297031249999,0.105166964285714,-9.79355581398199,2.11600080698555e-21,6.46817464354649e-20,37.7792829475239,"Down-regulado"
"TRIB2",1.01361197916666,0.0565952380952375,9.78916655945498,2.19910739873234e-21,6.71123021015097e-20,37.7413742844276,"Up-regulado"
"IQGAP3",1.02663229166666,-0.0346178571428573,9.78670535506417,2.24711544565635e-21,6.84655386272816e-20,37.720123355913,"Up-regulado"
"PHKB",-1.00913315972221,0.0819398809523809,-9.78599801808337,2.26110387451257e-21,6.87795391926241e-20,37.7140167170509,"Down-regulado"
"MMP11",1.04199565972221,0.069910714285714,9.78436299439395,2.29376962261022e-21,6.96597320999854e-20,37.6999024045179,"Up-regulado"
"SLC46A1",-1.01058368055555,0.135641666666667,-9.77983225536268,2.38675240577476e-21,7.23658679913233e-20,37.6608004115167,"Down-regulado"
